epoch,train_loss,train_acc,val_loss,val_acc,lr
1.0,1.3805474998650835,0.5468556463885055,1.0471756387922857,0.7333052276559865,0.0008
2.0,0.9872095506527151,0.7327564851187316,0.9225104274275331,0.7601180438448567,0.0008
3.0,0.9045645485689767,0.7642000212336766,0.8891928809489207,0.7663575042158516,0.0008
4.0,0.8845191152754679,0.7708886293661747,0.8838614507429113,0.7672849915682968,0.0008
5.0,0.8759651176994527,0.771879534274693,0.8779928786758628,0.7676222596964587,0.0008
6.0,0.8714238162607204,0.7715787238560357,0.875239238690767,0.7670320404721753,0.0008
7.0,0.8656645786923816,0.7724988498425169,0.8740718708472549,0.7677065767284992,0.0008
8.0,0.8587761116929802,0.7727819655306649,0.8651780490730504,0.7675379426644182,0.0008
9.0,0.8548865869520542,0.7732774179849241,0.8674617274213601,0.7675379426644182,0.0008
10.0,0.8490077218702443,0.7737197862476555,0.8628109116377356,0.7672006745362563,0.0004
11.0,0.8396387255258881,0.7746576069646459,0.8593372121428157,0.7677908937605397,0.0004
12.0,0.8348819026100909,0.7747991648087199,0.8609339663391371,0.7672849915682968,0.0004
13.0,0.831857060031467,0.7753477014545068,0.8645451264879956,0.7672006745362563,0.0004
14.0,0.8293246155218507,0.7749938068443217,0.863659777528721,0.7639966273187184,0.0002
15.0,0.8204194384108566,0.7767455851647379,0.8575390066706511,0.7658516020236088,0.0002
16.0,0.8186577862309824,0.7772587323495063,0.8579775130969879,0.7656829679595278,0.0002
17.0,0.8162978229938843,0.7783381109105708,0.8594112933385634,0.7659359190556493,0.0001
18.0,0.8111162717041918,0.7779134373783487,0.8593388649906718,0.7657672849915683,0.0001
19.0,0.8107193898094912,0.7783735003715894,0.8605314575600583,0.7649241146711636,0.0001
