suite,scenario,severity_or_strength,path_validity,exact_match,optimality_gap_mean,policy_ms_per_query
stress,clean,0,1.0,0.8375,0.045957850020350015,79.49854666730971
stress,flip_noise,1,0.9916666666666667,0.8041666666666667,0.05609487384697469,70.05987833326799
stress,flip_noise,2,0.9958333333333333,0.8125,0.07513028921470959,41.30600666624863
stress,flip_noise,3,0.975,0.7958333333333333,0.058815080930465544,42.317884583584
stress,mask_dropout,1,0.9875,0.8083333333333333,0.05424194886220203,41.43175041754148
stress,mask_dropout,2,0.9875,0.8083333333333333,0.05792029459192527,42.365657083306964
stress,mask_dropout,3,0.9708333333333333,0.725,0.08534545298603417,43.3880870842889
stress,occlusion,1,0.9833333333333333,0.7958333333333333,0.05523212178870205,74.6555399991242
stress,occlusion,2,0.9541666666666667,0.7625,0.08042970600766644,74.64524083431266
stress,occlusion,3,0.8291666666666667,0.625,0.12586314726427053,49.115928332563875
stress,density_shift,1,0.9833333333333333,0.7291666666666666,0.10769536489875474,43.11613958282881
stress,density_shift,2,0.8875,0.5666666666666667,0.11643953717276004,42.58485333399828
stress,density_shift,3,0.6166666666666667,0.3875,0.19617641426851953,42.4935129165533
adversarial,clean,0,1.0,0.8375,0.045957850020350015,63.2167450004393
adversarial,corridor_block,1,0.9875,0.7583333333333333,0.08494626564246818,83.73544458324128
adversarial,corridor_block,2,0.975,0.7083333333333334,0.09914227510381356,86.7406670832376
adversarial,corridor_block,3,0.9708333333333333,0.6708333333333333,0.17012652345270368,49.43425458222919
